Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,
1.63064E+12,35,-1,-1,-1,2670,d0,
1.63064E+12,139,-1,-1,-1,3012,d0,1
1.63064E+12,139,-1,-1,-1,x,dset End,
1.63064E+12,300,-1,-1,-1,2808,d0,
1.63064E+12,351,-1,-1,-1,3146,d0,
1.63064E+12,352,-1,-1,-1,x,dset End,2
1.63064E+12,606,-1,-1,-1,2814,d0,
1.63064E+12,736,-1,-1,-1,3152,d0,
1.63064E+12,737,-1,-1,-1,x,dset End,3
1.63064E+12,338,-1,-1,-1,2688,d0,
1.63064E+12,503,-1,-1,-1,2982,d0,
1.63064E+12,503,-1,-1,-1,x,dset End,4
1.63064E+12,615,-1,-1,-1,2822,d0,
1.63064E+12,751,-1,-1,-1,3114,d0,
1.63064E+12,751,-1,-1,-1,x,dset End,5
1.63064E+12,872,-1,-1,-1,2694,d0,
1.63064E+12,3,-1,-1,-1,3032,d0,
1.63064E+12,3,-1,-1,-1,x,dset End,6
1.63064E+12,915,-1,-1,-1,2674,d0,
1.63064E+12,74,-1,-1,-1,2766,d0,
1.63064E+12,74,-1,-1,-1,x,dset End,7
1.63064E+12,953,-1,-1,-1,2714,d0,
1.63064E+12,135,-1,-1,-1,2998,d0,
1.63064E+12,135,-1,-1,-1,x,dset End,8
1.63064E+12,147,-1,-1,-1,2834,d0,
1.63064E+12,220,-1,-1,-1,3312,d0,
1.63064E+12,221,-1,-1,-1,x,dset End,9
1.63064E+12,703,-1,-1,-1,2678,d0,
1.63064E+12,840,-1,-1,-1,3022,d0,
1.63064E+12,840,-1,-1,-1,x,dset End,10
1.63064E+12,116,-1,-1,-1,2674,d0,
1.63064E+12,172,-1,-1,-1,3004,d0,
1.63064E+12,172,-1,-1,-1,x,dset End,11
1.63064E+12,737,-1,-1,-1,2684,d0,
1.63064E+12,856,-1,-1,-1,2978,d0,
1.63064E+12,856,-1,-1,-1,x,dset End,12
1.63064E+12,516,-1,-1,-1,2680,d0,
1.63064E+12,605,-1,-1,-1,3074,d0,
1.63064E+12,606,-1,-1,-1,x,dset End,13
1.63064E+12,304,-1,-1,-1,2822,d0,
1.63064E+12,477,-1,-1,-1,3214,d0,
1.63064E+12,477,-1,-1,-1,x,dset End,14
1.63064E+12,902,-1,-1,-1,2864,d0,
1.63064E+12,40,-1,-1,-1,2762,d0,
1.63064E+12,40,-1,-1,-1,x,dset End,15
