Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,
1.63064E+12,447,-1,-1,-1,2510,d0,
1.63064E+12,511,-1,-1,-1,3070,d0,
1.63064E+12,511,-1,-1,-1,x,dset End,1
1.63064E+12,582,-1,-1,-1,2588,d0,
1.63064E+12,750,-1,-1,-1,3146,d0,
1.63064E+12,750,-1,-1,-1,x,dset End,2
1.63064E+12,430,-1,-1,-1,2566,d0,
1.63064E+12,518,-1,-1,-1,3008,d0,
1.63064E+12,518,-1,-1,-1,x,dset End,3
1.63064E+12,123,-1,-1,-1,2884,d0,
1.63064E+12,283,-1,-1,-1,3162,d0,
1.63064E+12,283,-1,-1,-1,x,dset End,4
1.63064E+12,101,-1,-1,-1,2716,d0,
1.63064E+12,168,-1,-1,-1,2818,d0,
1.63064E+12,168,-1,-1,-1,x,dset End,5
1.63064E+12,330,-1,-1,-1,2582,d0,
1.63064E+12,498,-1,-1,-1,3018,d0,
1.63064E+12,499,-1,-1,-1,x,dset End,6
1.63064E+12,543,-1,-1,-1,2720,d0,
1.63064E+12,599,-1,-1,-1,3040,d0,
1.63064E+12,600,-1,-1,-1,x,dset End,7
1.63064E+12,449,-1,-1,-1,2494,d0,
1.63064E+12,598,-1,-1,-1,2726,d0,
1.63064E+12,598,-1,-1,-1,x,dset End,8
1.63064E+12,301,-1,-1,-1,2452,d0,
1.63064E+12,435,-1,-1,-1,2760,d0,
1.63064E+12,435,-1,-1,-1,x,dset End,9
1.63064E+12,76,-1,-1,-1,3008,d0,
1.63064E+12,181,-1,-1,-1,3176,d0,
1.63064E+12,181,-1,-1,-1,x,dset End,10
1.63064E+12,991,-1,-1,-1,2914,d0,
1.63064E+12,126,-1,-1,-1,3146,d0,
1.63064E+12,126,-1,-1,-1,x,dset End,11
1.63064E+12,582,-1,-1,-1,2746,d0,
1.63064E+12,666,-1,-1,-1,3126,d0,
1.63064E+12,666,-1,-1,-1,x,dset End,12
1.63064E+12,729,-1,-1,-1,2526,d0,
1.63064E+12,797,-1,-1,-1,2946,d0,
1.63064E+12,797,-1,-1,-1,x,dset End,13
