Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,
1.6306E+12,583,-1,-1,-1,2506,d0,
1.6306E+12,638,-1,-1,-1,2950,d0,
1.6306E+12,638,-1,-1,-1,x,dset End,1
1.6306E+12,923,-1,-1,-1,2418,d0,
1.6306E+12,971,-1,-1,-1,2778,d0,
1.6306E+12,971,-1,-1,-1,x,dset End,2
1.6306E+12,761,-1,-1,-1,2658,d0,
1.6306E+12,810,-1,-1,-1,3130,d0,
1.6306E+12,811,-1,-1,-1,x,dset End,3
1.6306E+12,789,-1,-1,-1,2556,d0,
1.6306E+12,866,-1,-1,-1,2844,d0,
1.6306E+12,866,-1,-1,-1,x,dset End,4
1.6306E+12,587,-1,-1,-1,2782,d0,
1.6306E+12,643,-1,-1,-1,3208,d0,
1.6306E+12,643,-1,-1,-1,x,dset End,5
1.6306E+12,425,-1,-1,-1,2716,d0,
1.6306E+12,526,-1,-1,-1,2818,d0,
1.6306E+12,526,-1,-1,-1,x,dset End,6
1.6306E+12,173,-1,-1,-1,2552,d0,
1.6306E+12,334,-1,-1,-1,2802,d0,
1.6306E+12,334,-1,-1,-1,x,dset End,7
1.6306E+12,490,-1,-1,-1,2516,d0,
1.6306E+12,739,-1,-1,-1,2960,d0,
1.6306E+12,739,-1,-1,-1,x,dset End,8
1.6306E+12,0,-1,-1,-1,2542,d0,
1.6306E+12,57,-1,-1,-1,2674,d0,
1.6306E+12,57,-1,-1,-1,x,dset End,9
