Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,
1.63064E+12,80,-1,-1,-1,2814,d0,
1.63064E+12,213,-1,-1,-1,3136,d0,
1.63064E+12,213,-1,-1,-1,x,dset End,1
1.63064E+12,840,-1,-1,-1,2802,d0,
1.63064E+12,1,-1,-1,-1,3168,d0,
1.63064E+12,1,-1,-1,-1,x,dset End,2
1.63064E+12,160,-1,-1,-1,2926,d0,
1.63064E+12,224,-1,-1,-1,3018,d0,
1.63064E+12,224,-1,-1,-1,x,dset End,3
1.63064E+12,792,-1,-1,-1,2598,d0,
1.63064E+12,927,-1,-1,-1,3192,d0,
1.63064E+12,927,-1,-1,-1,x,dset End,4
1.63064E+12,198,-1,-1,-1,2488,d0,
1.63064E+12,273,-1,-1,-1,2804,d0,
1.63064E+12,273,-1,-1,-1,x,dset End,5
1.63064E+12,804,-1,-1,-1,2792,d0,
1.63064E+12,890,-1,-1,-1,3132,d0,
1.63064E+12,890,-1,-1,-1,x,dset End,6
1.63064E+12,763,-1,-1,-1,2878,d0,
1.63064E+12,880,-1,-1,-1,2832,d0,
1.63064E+12,880,-1,-1,-1,x,dset End,7
1.63064E+12,640,-1,-1,-1,2720,d0,
1.63064E+12,695,-1,-1,-1,2956,d0,
1.63064E+12,695,-1,-1,-1,x,dset End,8
1.63064E+12,490,-1,-1,-1,2976,d0,
1.63064E+12,558,-1,-1,-1,2978,d0,
1.63064E+12,558,-1,-1,-1,x,dset End,9
1.63064E+12,280,-1,-1,-1,2768,d0,
1.63064E+12,337,-1,-1,-1,2886,d0,
1.63064E+12,337,-1,-1,-1,x,dset End,10
1.63064E+12,44,-1,-1,-1,2510,d0,
1.63064E+12,159,-1,-1,-1,2776,d0,
1.63064E+12,160,-1,-1,-1,x,dset End,11
1.63064E+12,628,-1,-1,-1,2634,d0,
1.63064E+12,714,-1,-1,-1,2822,d0,
1.63064E+12,714,-1,-1,-1,x,dset End,12
1.63064E+12,550,-1,-1,-1,2732,d0,
1.63064E+12,634,-1,-1,-1,2962,d0,
1.63064E+12,635,-1,-1,-1,x,dset End,13
1.63064E+12,531,-1,-1,-1,2688,d0,
1.63064E+12,597,-1,-1,-1,2894,d0,
1.63064E+12,597,-1,-1,-1,x,dset End,14
1.63064E+12,228,-1,-1,-1,2578,d0,
1.63064E+12,318,-1,-1,-1,3040,d0,
1.63064E+12,318,-1,-1,-1,x,dset End,15
1.63064E+12,762,-1,-1,-1,2962,d0,
1.63064E+12,875,-1,-1,-1,3060,d0,
1.63064E+12,875,-1,-1,-1,x,dset End,16
1.63064E+12,298,-1,-1,-1,2478,d0,
1.63064E+12,398,-1,-1,-1,3032,d0,
1.63064E+12,399,-1,-1,-1,x,dset End,17
1.63064E+12,998,-1,-1,-1,2972,d0,
1.63064E+12,134,-1,-1,-1,2982,d0,
1.63064E+12,134,-1,-1,-1,x,dset End,18
