Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630651111195,195,-1,-1,-1,2612,d0
1630651111232,232,-1,-1,-1,2678,d0
1630651111232,232,-1,-1,-1,2710,d0
1630651111232,232,-1,-1,-1,2706,d0
1630651111232,232,-1,-1,-1,2988,d0
1630651111232,232,-1,-1,-1,2782,d0
1630651111232,232,-1,-1,-1,2956,d0
1630651111232,232,-1,-1,-1,2972,d0
1630651111232,232,-1,-1,-1,2966,d0
1630651111232,232,-1,-1,-1,2960,d0
1630651111233,233,-1,-1,-1,2940,d0
1630651111233,233,-1,-1,-1,2978,d0
1630651111233,233,-1,-1,-1,2988,d0
1630651111234,234,-1,-1,-1,2962,d0
1630651111234,234,-1,-1,-1,3012,d0
1630651111235,235,-1,-1,-1,2962,d0
1630651111235,235,-1,-1,-1,2968,d0
1630651111233,233,-1,-1,-1,2972,d0
1630651111245,245,-1,-1,-1,2956,d0
1630651111245,245,-1,-1,-1,2950,d0
1630651111245,245,-1,-1,-1,2956,d0
1630651111245,245,-1,-1,-1,3040,d0
1630651111245,245,-1,-1,-1,3002,d0
1630651111245,245,-1,-1,-1,3018,d0
1630651111246,246,-1,-1,-1,x,dset End
1630651168758,758,-1,-1,-1,2602,d0
1630651168789,789,-1,-1,-1,3280,d0
1630651168790,790,-1,-1,-1,3076,d0
1630651168790,790,-1,-1,-1,2864,d0
1630651168790,790,-1,-1,-1,2854,d0
1630651168790,790,-1,-1,-1,2904,d0
1630651168790,790,-1,-1,-1,2850,d0
1630651168790,790,-1,-1,-1,2914,d0
1630651168791,791,-1,-1,-1,2880,d0
1630651168791,791,-1,-1,-1,3150,d0
1630651168791,791,-1,-1,-1,3122,d0
1630651168791,791,-1,-1,-1,3140,d0
1630651168791,791,-1,-1,-1,3326,d0
1630651168793,793,-1,-1,-1,3172,d0
1630651168793,793,-1,-1,-1,3142,d0
1630651168793,793,-1,-1,-1,3126,d0
1630651168794,794,-1,-1,-1,3208,d0
1630651168794,794,-1,-1,-1,3114,d0
1630651168809,809,-1,-1,-1,3254,d0
1630651168810,810,-1,-1,-1,3142,d0
1630651168810,810,-1,-1,-1,x,dset End
1630651180829,829,-1,-1,-1,2838,d0
1630651180868,868,-1,-1,-1,3084,d0
1630651180868,868,-1,-1,-1,3116,d0
1630651180868,868,-1,-1,-1,2880,d0
1630651180869,869,-1,-1,-1,2828,d0
1630651180869,869,-1,-1,-1,2860,d0
1630651180869,869,-1,-1,-1,2854,d0
1630651180869,869,-1,-1,-1,2804,d0
1630651180869,869,-1,-1,-1,3122,d0
1630651180869,869,-1,-1,-1,3110,d0
1630651180869,869,-1,-1,-1,3094,d0
1630651180869,869,-1,-1,-1,3126,d0
1630651180869,869,-1,-1,-1,3126,d0
1630651180869,869,-1,-1,-1,3322,d0
1630651180870,870,-1,-1,-1,3132,d0
1630651180870,870,-1,-1,-1,3120,d0
1630651180870,870,-1,-1,-1,3130,d0
1630651180870,870,-1,-1,-1,3142,d0
1630651180884,884,-1,-1,-1,3090,d0
1630651180884,884,-1,-1,-1,3132,d0
1630651180884,884,-1,-1,-1,x,dset End
1630651187290,290,-1,-1,-1,2664,d0
1630651187290,290,-1,-1,-1,2960,d0
1630651187290,290,-1,-1,-1,2988,d0
1630651187291,291,-1,-1,-1,2706,d0
1630651187291,291,-1,-1,-1,2706,d0
1630651187291,291,-1,-1,-1,2950,d0
1630651187291,291,-1,-1,-1,3032,d0
1630651187291,291,-1,-1,-1,2972,d0
1630651187291,291,-1,-1,-1,3012,d0
1630651187291,291,-1,-1,-1,2972,d0
1630651187292,292,-1,-1,-1,2950,d0
1630651187292,292,-1,-1,-1,2992,d0
1630651187292,292,-1,-1,-1,3034,d0
1630651187292,292,-1,-1,-1,3022,d0
1630651187292,292,-1,-1,-1,2992,d0
1630651187292,292,-1,-1,-1,3008,d0
1630651187292,292,-1,-1,-1,3106,d0
1630651187292,292,-1,-1,-1,2976,d0
1630651187380,380,-1,-1,-1,2976,d0
1630651187380,380,-1,-1,-1,x,dset End
1630651191597,597,-1,-1,-1,2474,d0
1630651191638,638,-1,-1,-1,3012,d0
1630651191638,638,-1,-1,-1,3022,d0
1630651191638,638,-1,-1,-1,3022,d0
1630651191639,639,-1,-1,-1,2982,d0
1630651191639,639,-1,-1,-1,3230,d0
1630651191639,639,-1,-1,-1,2968,d0
1630651191640,640,-1,-1,-1,2962,d0
1630651191640,640,-1,-1,-1,2986,d0
1630651191640,640,-1,-1,-1,2988,d0
1630651191640,640,-1,-1,-1,3146,d0
1630651191640,640,-1,-1,-1,3004,d0
1630651191640,640,-1,-1,-1,2998,d0
1630651191640,640,-1,-1,-1,3100,d0
1630651191640,640,-1,-1,-1,3024,d0
1630651191640,640,-1,-1,-1,2978,d0
1630651191640,640,-1,-1,-1,3110,d0
1630651191640,640,-1,-1,-1,2976,d0
1630651191652,652,-1,-1,-1,3050,d0
1630651191653,653,-1,-1,-1,3152,d0
1630651191653,653,-1,-1,-1,x,dset End
1630651196674,674,-1,-1,-1,2596,d0
1630651196708,708,-1,-1,-1,2952,d0
1630651196709,709,-1,-1,-1,2978,d0
1630651196709,709,-1,-1,-1,2716,d0
1630651196709,709,-1,-1,-1,2696,d0
1630651196709,709,-1,-1,-1,2696,d0
1630651196709,709,-1,-1,-1,2704,d0
1630651196709,709,-1,-1,-1,2978,d0
1630651196709,709,-1,-1,-1,3008,d0
1630651196709,709,-1,-1,-1,3054,d0
1630651196709,709,-1,-1,-1,2996,d0
