Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630646724522,522,-1,-1,-1,2658,d0
1630646724565,565,-1,-1,-1,2736,d0
1630646724565,565,-1,-1,-1,2982,d0
1630646724565,565,-1,-1,-1,2648,d0
1630646724565,565,-1,-1,-1,2690,d0
1630646724565,565,-1,-1,-1,2668,d0
1630646724565,565,-1,-1,-1,2684,d0
1630646724565,565,-1,-1,-1,2658,d0
1630646724566,566,-1,-1,-1,2688,d0
1630646724566,566,-1,-1,-1,2650,d0
1630646724566,566,-1,-1,-1,2660,d0
1630646724566,566,-1,-1,-1,2674,d0
1630646724566,566,-1,-1,-1,2680,d0
1630646724566,566,-1,-1,-1,2660,d0
1630646724566,566,-1,-1,-1,2690,d0
1630646724566,566,-1,-1,-1,2792,d0
1630646724566,566,-1,-1,-1,2684,d0
1630646724566,566,-1,-1,-1,2670,d0
1630646724594,594,-1,-1,-1,2612,d0
1630646724594,594,-1,-1,-1,2678,d0
1630646724594,594,-1,-1,-1,2670,d0
1630646724594,594,-1,-1,-1,2660,d0
1630646724594,594,-1,-1,-1,2688,d0
1630646724594,594,-1,-1,-1,2668,d0
1630646724594,594,-1,-1,-1,2658,d0
1630646724594,594,-1,-1,-1,2978,d0
1630646724594,594,-1,-1,-1,2678,d0
1630646724594,594,-1,-1,-1,2678,d0
1630646724612,612,-1,-1,-1,2678,d0
1630646724613,613,-1,-1,-1,2680,d0
1630646724613,613,-1,-1,-1,2936,d0
1630646724613,613,-1,-1,-1,2678,d0
1630646724613,613,-1,-1,-1,2668,d0
1630646724613,613,-1,-1,-1,2664,d0
1630646724613,613,-1,-1,-1,2654,d0
1630646724614,614,-1,-1,-1,2618,d0
1630646724614,614,-1,-1,-1,2782,d0
1630646724614,614,-1,-1,-1,2696,d0
1630646724615,615,-1,-1,-1,2664,d0
1630646724615,615,-1,-1,-1,2668,d0
1630646724615,615,-1,-1,-1,2694,d0
1630646724615,615,-1,-1,-1,2660,d0
1630646724615,615,-1,-1,-1,2670,d0
1630646724615,615,-1,-1,-1,2670,d0
1630646724615,615,-1,-1,-1,2602,d0
1630646724637,637,-1,-1,-1,2684,d0
1630646724637,637,-1,-1,-1,2674,d0
1630646724637,637,-1,-1,-1,2716,d0
1630646724637,637,-1,-1,-1,2684,d0
1630646724638,638,-1,-1,-1,2670,d0
1630646724638,638,-1,-1,-1,2678,d0
1630646724638,638,-1,-1,-1,2674,d0
1630646724638,638,-1,-1,-1,2658,d0
1630646724638,638,-1,-1,-1,2694,d0
1630646724666,666,-1,-1,-1,2634,d0
1630646724665,665,-1,-1,-1,2730,d0
1630646724666,666,-1,-1,-1,2664,d0
1630646724666,666,-1,-1,-1,2966,d0
