Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630644085035,35,-1,-1,-1,2670,d0
1630644085139,139,-1,-1,-1,3012,d0
1630644085139,139,-1,-1,-1,x,dset End
1630644173300,300,-1,-1,-1,2808,d0
1630644173351,351,-1,-1,-1,3146,d0
1630644173352,352,-1,-1,-1,x,dset End
1630644178606,606,-1,-1,-1,2814,d0
1630644178736,736,-1,-1,-1,3152,d0
1630644178737,737,-1,-1,-1,x,dset End
1630644181338,338,-1,-1,-1,2688,d0
1630644181503,503,-1,-1,-1,2982,d0
1630644181503,503,-1,-1,-1,x,dset End
1630644183615,615,-1,-1,-1,2822,d0
1630644183751,751,-1,-1,-1,3114,d0
1630644183751,751,-1,-1,-1,x,dset End
1630644185872,872,-1,-1,-1,2694,d0
1630644186003,3,-1,-1,-1,3032,d0
1630644186003,3,-1,-1,-1,x,dset End
1630644188915,915,-1,-1,-1,2674,d0
1630644189074,74,-1,-1,-1,2766,d0
1630644189074,74,-1,-1,-1,x,dset End
1630644190953,953,-1,-1,-1,2714,d0
1630644191135,135,-1,-1,-1,2998,d0
1630644191135,135,-1,-1,-1,x,dset End
1630644193147,147,-1,-1,-1,2834,d0
1630644193220,220,-1,-1,-1,3312,d0
1630644193221,221,-1,-1,-1,x,dset End
1630644195703,703,-1,-1,-1,2678,d0
1630644195840,840,-1,-1,-1,3022,d0
1630644195840,840,-1,-1,-1,x,dset End
1630644198116,116,-1,-1,-1,2674,d0
1630644198172,172,-1,-1,-1,3004,d0
1630644198172,172,-1,-1,-1,x,dset End
1630644200737,737,-1,-1,-1,2684,d0
1630644200856,856,-1,-1,-1,2978,d0
1630644200856,856,-1,-1,-1,x,dset End
1630644224516,516,-1,-1,-1,2680,d0
1630644224605,605,-1,-1,-1,3074,d0
1630644224606,606,-1,-1,-1,x,dset End
1630644227304,304,-1,-1,-1,2822,d0
1630644227477,477,-1,-1,-1,3214,d0
1630644227477,477,-1,-1,-1,x,dset End
1630644229902,902,-1,-1,-1,2864,d0
1630644230040,40,-1,-1,-1,2762,d0
1630644230040,40,-1,-1,-1,x,dset End
