Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630644530447,447,-1,-1,-1,2510,d0
1630644530511,511,-1,-1,-1,3070,d0
1630644530511,511,-1,-1,-1,x,dset End
1630644537582,582,-1,-1,-1,2588,d0
1630644537750,750,-1,-1,-1,3146,d0
1630644537750,750,-1,-1,-1,x,dset End
1630644540430,430,-1,-1,-1,2566,d0
1630644540518,518,-1,-1,-1,3008,d0
1630644540518,518,-1,-1,-1,x,dset End
1630644543123,123,-1,-1,-1,2884,d0
1630644543283,283,-1,-1,-1,3162,d0
1630644543283,283,-1,-1,-1,x,dset End
1630644545101,101,-1,-1,-1,2716,d0
1630644545168,168,-1,-1,-1,2818,d0
1630644545168,168,-1,-1,-1,x,dset End
1630644548330,330,-1,-1,-1,2582,d0
1630644548498,498,-1,-1,-1,3018,d0
1630644548499,499,-1,-1,-1,x,dset End
1630644550543,543,-1,-1,-1,2720,d0
1630644550599,599,-1,-1,-1,3040,d0
1630644550600,600,-1,-1,-1,x,dset End
1630644552449,449,-1,-1,-1,2494,d0
1630644552598,598,-1,-1,-1,2726,d0
1630644552598,598,-1,-1,-1,x,dset End
1630644554301,301,-1,-1,-1,2452,d0
1630644554435,435,-1,-1,-1,2760,d0
1630644554435,435,-1,-1,-1,x,dset End
1630644556076,76,-1,-1,-1,3008,d0
1630644556181,181,-1,-1,-1,3176,d0
1630644556181,181,-1,-1,-1,x,dset End
1630644557991,991,-1,-1,-1,2914,d0
1630644558126,126,-1,-1,-1,3146,d0
1630644558126,126,-1,-1,-1,x,dset End
1630644559582,582,-1,-1,-1,2746,d0
1630644559666,666,-1,-1,-1,3126,d0
1630644559666,666,-1,-1,-1,x,dset End
1630644561729,729,-1,-1,-1,2526,d0
1630644561797,797,-1,-1,-1,2946,d0
1630644561797,797,-1,-1,-1,x,dset End
