Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630600418583,583,-1,-1,-1,2506,d0
1630600418638,638,-1,-1,-1,2950,d0
1630600418638,638,-1,-1,-1,x,dset End
1630600425923,923,-1,-1,-1,2418,d0
1630600425971,971,-1,-1,-1,2778,d0
1630600425971,971,-1,-1,-1,x,dset End
1630600431761,761,-1,-1,-1,2658,d0
1630600431810,810,-1,-1,-1,3130,d0
1630600431811,811,-1,-1,-1,x,dset End
1630600436789,789,-1,-1,-1,2556,d0
1630600436866,866,-1,-1,-1,2844,d0
1630600436866,866,-1,-1,-1,x,dset End
1630600445587,587,-1,-1,-1,2782,d0
1630600445643,643,-1,-1,-1,3208,d0
1630600445643,643,-1,-1,-1,x,dset End
1630600520425,425,-1,-1,-1,2716,d0
1630600520526,526,-1,-1,-1,2818,d0
1630600520526,526,-1,-1,-1,x,dset End
1630600529173,173,-1,-1,-1,2552,d0
1630600529334,334,-1,-1,-1,2802,d0
1630600529334,334,-1,-1,-1,x,dset End
1630600536490,490,-1,-1,-1,2516,d0
1630600536739,739,-1,-1,-1,2960,d0
1630600536739,739,-1,-1,-1,x,dset End
1630600547000,0,-1,-1,-1,2542,d0
1630600547057,57,-1,-1,-1,2674,d0
1630600547057,57,-1,-1,-1,x,dset End
