Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630644724080,80,-1,-1,-1,2814,d0
1630644724213,213,-1,-1,-1,3136,d0
1630644724213,213,-1,-1,-1,x,dset End
1630644727840,840,-1,-1,-1,2802,d0
1630644728001,1,-1,-1,-1,3168,d0
1630644728001,1,-1,-1,-1,x,dset End
1630644730160,160,-1,-1,-1,2926,d0
1630644730224,224,-1,-1,-1,3018,d0
1630644730224,224,-1,-1,-1,x,dset End
1630644732792,792,-1,-1,-1,2598,d0
1630644732927,927,-1,-1,-1,3192,d0
1630644732927,927,-1,-1,-1,x,dset End
1630644735198,198,-1,-1,-1,2488,d0
1630644735273,273,-1,-1,-1,2804,d0
1630644735273,273,-1,-1,-1,x,dset End
1630644737804,804,-1,-1,-1,2792,d0
1630644737890,890,-1,-1,-1,3132,d0
1630644737890,890,-1,-1,-1,x,dset End
1630644739763,763,-1,-1,-1,2878,d0
1630644739880,880,-1,-1,-1,2832,d0
1630644739880,880,-1,-1,-1,x,dset End
1630644741640,640,-1,-1,-1,2720,d0
1630644741695,695,-1,-1,-1,2956,d0
1630644741695,695,-1,-1,-1,x,dset End
1630644743490,490,-1,-1,-1,2976,d0
1630644743558,558,-1,-1,-1,2978,d0
1630644743558,558,-1,-1,-1,x,dset End
1630644745280,280,-1,-1,-1,2768,d0
1630644745337,337,-1,-1,-1,2886,d0
1630644745337,337,-1,-1,-1,x,dset End
1630644747044,44,-1,-1,-1,2510,d0
1630644747159,159,-1,-1,-1,2776,d0
1630644747160,160,-1,-1,-1,x,dset End
1630644748628,628,-1,-1,-1,2634,d0
1630644748714,714,-1,-1,-1,2822,d0
1630644748714,714,-1,-1,-1,x,dset End
1630644750550,550,-1,-1,-1,2732,d0
1630644750634,634,-1,-1,-1,2962,d0
1630644750635,635,-1,-1,-1,x,dset End
1630644752531,531,-1,-1,-1,2688,d0
1630644752597,597,-1,-1,-1,2894,d0
1630644752597,597,-1,-1,-1,x,dset End
1630644754228,228,-1,-1,-1,2578,d0
1630644754318,318,-1,-1,-1,3040,d0
1630644754318,318,-1,-1,-1,x,dset End
1630644755762,762,-1,-1,-1,2962,d0
1630644755875,875,-1,-1,-1,3060,d0
1630644755875,875,-1,-1,-1,x,dset End
1630644757298,298,-1,-1,-1,2478,d0
1630644757398,398,-1,-1,-1,3032,d0
1630644757399,399,-1,-1,-1,x,dset End
1630644758998,998,-1,-1,-1,2972,d0
1630644759134,134,-1,-1,-1,2982,d0
1630644759134,134,-1,-1,-1,x,dset End
