Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630601060200,200,-1,-1,-1,2752,d0
1630601060242,242,-1,-1,-1,2788,d0
1630601060242,242,-1,-1,-1,2762,d0
1630601060243,243,-1,-1,-1,2760,d0
1630601060243,243,-1,-1,-1,2786,d0
1630601060243,243,-1,-1,-1,2812,d0
1630601060243,243,-1,-1,-1,2760,d0
1630601060244,244,-1,-1,-1,2766,d0
1630601060244,244,-1,-1,-1,2796,d0
1630601060244,244,-1,-1,-1,2778,d0
1630601060244,244,-1,-1,-1,2788,d0
1630601060244,244,-1,-1,-1,2750,d0
1630601060244,244,-1,-1,-1,2814,d0
1630601060244,244,-1,-1,-1,2782,d0
1630601060244,244,-1,-1,-1,2762,d0
1630601060244,244,-1,-1,-1,2788,d0
1630601060245,245,-1,-1,-1,2788,d0
1630601060245,245,-1,-1,-1,2756,d0
1630601060245,245,-1,-1,-1,2768,d0
1630601060265,265,-1,-1,-1,2818,d0
1630601060265,265,-1,-1,-1,2756,d0
1630601060266,266,-1,-1,-1,2792,d0
1630601060266,266,-1,-1,-1,2798,d0
1630601060266,266,-1,-1,-1,2788,d0
1630601060266,266,-1,-1,-1,2822,d0
1630601060266,266,-1,-1,-1,2776,d0
1630601060266,266,-1,-1,-1,2792,d0
1630601060266,266,-1,-1,-1,2768,d0
1630601060267,267,-1,-1,-1,2766,d0
1630601060294,294,-1,-1,-1,3106,d0
1630601060294,294,-1,-1,-1,2782,d0
1630601060295,295,-1,-1,-1,2772,d0
1630601060295,295,-1,-1,-1,2814,d0
1630601060295,295,-1,-1,-1,3182,d0
1630601060295,295,-1,-1,-1,2650,d0
1630601060295,295,-1,-1,-1,2628,d0
1630601060295,295,-1,-1,-1,2650,d0
1630601060295,295,-1,-1,-1,2628,d0
1630601060295,295,-1,-1,-1,2632,d0
1630601060295,295,-1,-1,-1,2642,d0
1630601060295,295,-1,-1,-1,2690,d0
1630601060295,295,-1,-1,-1,2628,d0
1630601060295,295,-1,-1,-1,2660,d0
1630601060296,296,-1,-1,-1,2648,d0
1630601060296,296,-1,-1,-1,2642,d0
1630601060296,296,-1,-1,-1,2634,d0
1630601060296,296,-1,-1,-1,2624,d0
1630601060327,327,-1,-1,-1,2668,d0
1630601060327,327,-1,-1,-1,2632,d0
1630601060328,328,-1,-1,-1,2648,d0
1630601060328,328,-1,-1,-1,2660,d0
1630601060328,328,-1,-1,-1,2880,d0
1630601060328,328,-1,-1,-1,2624,d0
1630601060328,328,-1,-1,-1,2598,d0
1630601060329,329,-1,-1,-1,2658,d0
1630601060348,348,-1,-1,-1,2648,d0
1630601060349,349,-1,-1,-1,2670,d0
1630601060349,349,-1,-1,-1,2654,d0
1630601060349,349,-1,-1,-1,2724,d0
1630601060349,349,-1,-1,-1,2632,d0
