Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630644880306,306,-1,-1,-1,2608,d0
1630644880474,474,-1,-1,-1,3348,d0
1630644880474,474,-1,-1,-1,x,dset End
1630644883840,840,-1,-1,-1,2624,d0
1630644883897,897,-1,-1,-1,3116,d0
1630644883897,897,-1,-1,-1,x,dset End
1630644887426,426,-1,-1,-1,2592,d0
1630644887543,543,-1,-1,-1,3186,d0
1630644887543,543,-1,-1,-1,x,dset End
1630644890295,295,-1,-1,-1,2716,d0
1630644890346,346,-1,-1,-1,2976,d0
1630644890346,346,-1,-1,-1,x,dset End
1630644893263,263,-1,-1,-1,2724,d0
1630644893324,324,-1,-1,-1,3032,d0
1630644893324,324,-1,-1,-1,x,dset End
1630644895207,207,-1,-1,-1,2470,d0
1630644895263,263,-1,-1,-1,2730,d0
1630644895264,264,-1,-1,-1,x,dset End
1630644897983,983,-1,-1,-1,2534,d0
1630644898097,97,-1,-1,-1,3008,d0
1630644898097,97,-1,-1,-1,x,dset End
1630644901147,147,-1,-1,-1,2782,d0
1630644901213,213,-1,-1,-1,2716,d0
1630644901213,213,-1,-1,-1,x,dset End
1630644904438,438,-1,-1,-1,2842,d0
1630644904494,494,-1,-1,-1,3150,d0
1630644904494,494,-1,-1,-1,x,dset End
1630644907598,598,-1,-1,-1,2942,d0
1630644907729,729,-1,-1,-1,2870,d0
1630644907730,730,-1,-1,-1,x,dset End
1630644910343,343,-1,-1,-1,2650,d0
1630644910413,413,-1,-1,-1,3018,d0
1630644910413,413,-1,-1,-1,x,dset End
1630644913656,656,-1,-1,-1,2516,d0
1630644913711,711,-1,-1,-1,3038,d0
1630644913711,711,-1,-1,-1,x,dset End
1630644916961,961,-1,-1,-1,2648,d0
1630644917143,143,-1,-1,-1,3012,d0
1630644917143,143,-1,-1,-1,x,dset End
1630644919956,956,-1,-1,-1,2458,d0
1630644920110,110,-1,-1,-1,3034,d0
1630644920110,110,-1,-1,-1,x,dset End
1630644922755,755,-1,-1,-1,2834,d0
1630644922828,828,-1,-1,-1,2854,d0
1630644922828,828,-1,-1,-1,x,dset End
1630644925474,474,-1,-1,-1,2746,d0
1630644925637,637,-1,-1,-1,3054,d0
1630644925637,637,-1,-1,-1,x,dset End
1630644927250,250,-1,-1,-1,2458,d0
1630644927314,314,-1,-1,-1,2724,d0
1630644927314,314,-1,-1,-1,x,dset End
1630644929367,367,-1,-1,-1,2570,d0
1630644929427,427,-1,-1,-1,3182,d0
1630644929427,427,-1,-1,-1,x,dset End
1630644931309,309,-1,-1,-1,2870,d0
1630644931471,471,-1,-1,-1,3300,d0
1630644931472,472,-1,-1,-1,x,dset End
1630644933057,57,-1,-1,-1,2458,d0
1630644933109,109,-1,-1,-1,3012,d0
1630644933109,109,-1,-1,-1,x,dset End
1630644934672,672,-1,-1,-1,2710,d0
1630644934729,729,-1,-1,-1,3172,d0
1630644934729,729,-1,-1,-1,x,dset End
1630644937860,860,-1,-1,-1,2812,d0
1630644938028,28,-1,-1,-1,3146,d0
1630644938029,29,-1,-1,-1,x,dset End
1630644941212,212,-1,-1,-1,2678,d0
1630644941311,311,-1,-1,-1,2914,d0
1630644941311,311,-1,-1,-1,x,dset End
1630644943530,530,-1,-1,-1,2760,d0
1630644943660,660,-1,-1,-1,2808,d0
1630644943660,660,-1,-1,-1,x,dset End
