Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630585529050,50,-1,-1,-1,2546,d0
1630585529079,79,-1,-1,-1,2468,d0
1630585529079,79,-1,-1,-1,2488,d0
1630585529079,79,-1,-1,-1,2452,d0
1630585529080,80,-1,-1,-1,2478,d0
1630585529080,80,-1,-1,-1,2474,d0
1630585529080,80,-1,-1,-1,2470,d0
1630585529080,80,-1,-1,-1,2444,d0
1630585529080,80,-1,-1,-1,2484,d0
1630585529080,80,-1,-1,-1,2500,d0
1630585529080,80,-1,-1,-1,2460,d0
1630585529080,80,-1,-1,-1,2598,d0
1630585529080,80,-1,-1,-1,2490,d0
1630585529080,80,-1,-1,-1,2494,d0
1630585529081,81,-1,-1,-1,2460,d0
1630585529081,81,-1,-1,-1,2586,d0
1630585529081,81,-1,-1,-1,2490,d0
1630585529081,81,-1,-1,-1,2468,d0
1630585529081,81,-1,-1,-1,2452,d0
1630585529087,87,-1,-1,-1,2490,d0
1630585529087,87,-1,-1,-1,2480,d0
1630585529087,87,-1,-1,-1,2756,d0
1630585529087,87,-1,-1,-1,2460,d0
1630585529087,87,-1,-1,-1,2496,d0
1630585529087,87,-1,-1,-1,2460,d0
1630585529137,137,-1,-1,-1,2382,d0
1630585529137,137,-1,-1,-1,2454,d0
1630585529138,138,-1,-1,-1,2464,d0
1630585529138,138,-1,-1,-1,2516,d0
1630585529138,138,-1,-1,-1,2490,d0
1630585529138,138,-1,-1,-1,2496,d0
1630585529138,138,-1,-1,-1,2458,d0
1630585529138,138,-1,-1,-1,2560,d0
1630585529138,138,-1,-1,-1,2506,d0
1630585529139,139,-1,-1,-1,2382,d0
1630585529139,139,-1,-1,-1,2460,d0
1630585529139,139,-1,-1,-1,2490,d0
1630585529139,139,-1,-1,-1,2490,d0
1630585529139,139,-1,-1,-1,2458,d0
1630585529139,139,-1,-1,-1,2458,d0
1630585529139,139,-1,-1,-1,2506,d0
1630585529140,140,-1,-1,-1,2470,d0
1630585529140,140,-1,-1,-1,2458,d0
1630585529170,170,-1,-1,-1,2424,d0
1630585529170,170,-1,-1,-1,2458,d0
1630585529170,170,-1,-1,-1,2464,d0
1630585529170,170,-1,-1,-1,2470,d0
1630585529170,170,-1,-1,-1,2506,d0
1630585529170,170,-1,-1,-1,2464,d0
1630585529171,171,-1,-1,-1,2496,d0
1630585529171,171,-1,-1,-1,2484,d0
1630585529171,171,-1,-1,-1,2464,d0
1630585529172,172,-1,-1,-1,2434,d0
1630585529172,172,-1,-1,-1,2484,d0
1630585529173,173,-1,-1,-1,2510,d0
1630585529173,173,-1,-1,-1,2500,d0
1630585529173,173,-1,-1,-1,2458,d0
1630585529173,173,-1,-1,-1,2470,d0
1630585529173,173,-1,-1,-1,2452,d0
1630585529173,173,-1,-1,-1,2444,d0
1630585529173,173,-1,-1,-1,2418,d0
1630585529186,186,-1,-1,-1,2478,d0
1630585529218,218,-1,-1,-1,2464,d0
1630585529220,220,-1,-1,-1,2448,d0
1630585529220,220,-1,-1,-1,2474,d0
1630585529220,220,-1,-1,-1,2484,d0
1630585529220,220,-1,-1,-1,2614,d0
1630585529220,220,-1,-1,-1,2448,d0
1630585529221,221,-1,-1,-1,2372,d0
1630585529221,221,-1,-1,-1,2470,d0
1630585529221,221,-1,-1,-1,2444,d0
1630585529221,221,-1,-1,-1,2470,d0
1630585529221,221,-1,-1,-1,2490,d0
1630585529221,221,-1,-1,-1,2480,d0
1630585529221,221,-1,-1,-1,2458,d0
1630585529222,222,-1,-1,-1,2458,d0
1630585529224,224,-1,-1,-1,2474,d0
1630585529225,225,-1,-1,-1,2550,d0
1630585529225,225,-1,-1,-1,2452,d0
1630585529225,225,-1,-1,-1,2468,d0
1630585529243,243,-1,-1,-1,2474,d0
1630585529243,243,-1,-1,-1,2460,d0
1630585529243,243,-1,-1,-1,2484,d0
1630585529244,244,-1,-1,-1,2448,d0
1630585529244,244,-1,-1,-1,2488,d0
1630585529244,244,-1,-1,-1,2424,d0
1630585529244,244,-1,-1,-1,2510,d0
1630585529244,244,-1,-1,-1,2458,d0
1630585529244,244,-1,-1,-1,2448,d0
1630585529266,266,-1,-1,-1,2468,d0
