Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630647034161,161,-1,-1,-1,2606,d0
1630647034201,201,-1,-1,-1,2812,d0
1630647034202,202,-1,-1,-1,3074,d0
1630647034203,203,-1,-1,-1,2844,d0
1630647034203,203,-1,-1,-1,2822,d0
1630647034203,203,-1,-1,-1,2808,d0
1630647034203,203,-1,-1,-1,2850,d0
1630647034203,203,-1,-1,-1,2890,d0
1630647034203,203,-1,-1,-1,2782,d0
1630647034203,203,-1,-1,-1,2832,d0
1630647034203,203,-1,-1,-1,2832,d0
1630647034204,204,-1,-1,-1,2838,d0
1630647034205,205,-1,-1,-1,3110,d0
1630647034205,205,-1,-1,-1,2854,d0
1630647034205,205,-1,-1,-1,2814,d0
1630647034206,206,-1,-1,-1,2832,d0
1630647034206,206,-1,-1,-1,2848,d0
1630647034206,206,-1,-1,-1,2844,d0
1630647034228,228,-1,-1,-1,2834,d0
1630647034228,228,-1,-1,-1,2814,d0
1630647034228,228,-1,-1,-1,2854,d0
1630647034228,228,-1,-1,-1,2788,d0
1630647034228,228,-1,-1,-1,2818,d0
1630647034229,229,-1,-1,-1,3004,d0
1630647034229,229,-1,-1,-1,2838,d0
1630647034229,229,-1,-1,-1,2808,d0
1630647034229,229,-1,-1,-1,2700,d0
1630647034229,229,-1,-1,-1,2844,d0
1630647034229,229,-1,-1,-1,2832,d0
1630647034229,229,-1,-1,-1,2822,d0
1630647034229,229,-1,-1,-1,2834,d0
1630647034229,229,-1,-1,-1,2850,d0
1630647034251,251,-1,-1,-1,3116,d0
1630647034251,251,-1,-1,-1,2998,d0
1630647034251,251,-1,-1,-1,2844,d0
1630647034251,251,-1,-1,-1,2760,d0
1630647034251,251,-1,-1,-1,2828,d0
1630647034251,251,-1,-1,-1,2842,d0
1630647034251,251,-1,-1,-1,2814,d0
1630647034251,251,-1,-1,-1,2838,d0
1630647034251,251,-1,-1,-1,2814,d0
1630647034251,251,-1,-1,-1,2848,d0
1630647034251,251,-1,-1,-1,2828,d0
1630647034251,251,-1,-1,-1,2802,d0
1630647034252,252,-1,-1,-1,2956,d0
1630647034252,252,-1,-1,-1,2848,d0
1630647034252,252,-1,-1,-1,2808,d0
1630647034252,252,-1,-1,-1,2824,d0
1630647034252,252,-1,-1,-1,2848,d0
1630647034275,275,-1,-1,-1,2818,d0
1630647034275,275,-1,-1,-1,2878,d0
1630647034275,275,-1,-1,-1,2838,d0
1630647034275,275,-1,-1,-1,2818,d0
1630647034287,287,-1,-1,-1,2832,d0
1630647034287,287,-1,-1,-1,3332,d0
1630647034287,287,-1,-1,-1,2844,d0
1630647034287,287,-1,-1,-1,2818,d0
1630647034287,287,-1,-1,-1,2832,d0
1630647034288,288,-1,-1,-1,2824,d0
1630647034288,288,-1,-1,-1,2814,d0
1630647034288,288,-1,-1,-1,2838,d0
1630647034288,288,-1,-1,-1,2766,d0
1630647034288,288,-1,-1,-1,2848,d0
1630647034288,288,-1,-1,-1,2814,d0
1630647034288,288,-1,-1,-1,2832,d0
1630647034288,288,-1,-1,-1,2844,d0
1630647034288,288,-1,-1,-1,3070,d0
1630647034288,288,-1,-1,-1,2824,d0
1630647034288,288,-1,-1,-1,2822,d0
1630647034288,288,-1,-1,-1,2854,d0
1630647034310,310,-1,-1,-1,2808,d0
1630647034311,311,-1,-1,-1,2842,d0
1630647034310,310,-1,-1,-1,2752,d0
1630647034311,311,-1,-1,-1,2832,d0
1630647034330,330,-1,-1,-1,2814,d0
1630647034330,330,-1,-1,-1,2992,d0
1630647034330,330,-1,-1,-1,2878,d0
1630647034331,331,-1,-1,-1,2828,d0
1630647034331,331,-1,-1,-1,2844,d0
1630647034331,331,-1,-1,-1,2842,d0
1630647034331,331,-1,-1,-1,2812,d0
1630647034331,331,-1,-1,-1,2844,d0
1630647034331,331,-1,-1,-1,2814,d0
1630647034331,331,-1,-1,-1,2844,d0
1630647034331,331,-1,-1,-1,2808,d0
1630647034331,331,-1,-1,-1,2796,d0
1630647034331,331,-1,-1,-1,2996,d0
1630647034331,331,-1,-1,-1,3096,d0
1630647034331,331,-1,-1,-1,2818,d0
1630647034332,332,-1,-1,-1,2814,d0
1630647034332,332,-1,-1,-1,2842,d0
1630647034348,348,-1,-1,-1,2838,d0
1630647034348,348,-1,-1,-1,2824,d0
1630647034348,348,-1,-1,-1,2844,d0
1630647034348,348,-1,-1,-1,2842,d0
1630647034348,348,-1,-1,-1,2822,d0
1630647034348,348,-1,-1,-1,2812,d0
1630647034348,348,-1,-1,-1,2848,d0
1630647034348,348,-1,-1,-1,2864,d0
1630647034348,348,-1,-1,-1,2812,d0
1630647034382,382,-1,-1,-1,2848,d0
1630647034382,382,-1,-1,-1,2804,d0
1630647034382,382,-1,-1,-1,2832,d0
1630647034382,382,-1,-1,-1,2870,d0
1630647034382,382,-1,-1,-1,2858,d0
1630647034382,382,-1,-1,-1,2818,d0
1630647034382,382,-1,-1,-1,2874,d0
1630647034383,383,-1,-1,-1,2864,d0
1630647034383,383,-1,-1,-1,2838,d0
1630647034383,383,-1,-1,-1,2838,d0
1630647034383,383,-1,-1,-1,2838,d0
1630647034383,383,-1,-1,-1,2844,d0
1630647034383,383,-1,-1,-1,2942,d0
1630647034383,383,-1,-1,-1,2834,d0
1630647034383,383,-1,-1,-1,2848,d0
1630647034383,383,-1,-1,-1,2838,d0
1630647034383,383,-1,-1,-1,2818,d0
1630647034400,400,-1,-1,-1,2996,d0
1630647034400,400,-1,-1,-1,2854,d0
1630647034400,400,-1,-1,-1,3086,d0
1630647034400,400,-1,-1,-1,2858,d0
1630647034400,400,-1,-1,-1,2848,d0
1630647034400,400,-1,-1,-1,2740,d0
1630647034400,400,-1,-1,-1,2812,d0
1630647034400,400,-1,-1,-1,2824,d0
1630647034400,400,-1,-1,-1,2854,d0
1630647034428,428,-1,-1,-1,2818,d0
1630647034428,428,-1,-1,-1,3140,d0
1630647034428,428,-1,-1,-1,2858,d0
1630647034428,428,-1,-1,-1,2854,d0
1630647034428,428,-1,-1,-1,2878,d0
1630647034428,428,-1,-1,-1,2834,d0
1630647034428,428,-1,-1,-1,2834,d0
1630647034428,428,-1,-1,-1,2878,d0
1630647034428,428,-1,-1,-1,2818,d0
1630647034428,428,-1,-1,-1,2844,d0
1630647034428,428,-1,-1,-1,2814,d0
1630647034428,428,-1,-1,-1,2808,d0
1630647034428,428,-1,-1,-1,3320,d0
1630647034428,428,-1,-1,-1,2850,d0
