Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630645991373,373,-1,-1,-1,2776,d0
1630645991407,407,-1,-1,-1,2812,d0
1630645991407,407,-1,-1,-1,2828,d0
1630645991407,407,-1,-1,-1,2822,d0
1630645991408,408,-1,-1,-1,2808,d0
1630645991408,408,-1,-1,-1,2798,d0
1630645991408,408,-1,-1,-1,2824,d0
1630645991408,408,-1,-1,-1,2804,d0
1630645991408,408,-1,-1,-1,2812,d0
1630645991408,408,-1,-1,-1,2828,d0
1630645991408,408,-1,-1,-1,3034,d0
1630645991408,408,-1,-1,-1,3152,d0
1630645991408,408,-1,-1,-1,2796,d0
1630645991408,408,-1,-1,-1,2824,d0
1630645991408,408,-1,-1,-1,2844,d0
1630645991411,411,-1,-1,-1,2788,d0
1630645991411,411,-1,-1,-1,3024,d0
1630645991411,411,-1,-1,-1,2700,d0
1630645991434,434,-1,-1,-1,2668,d0
1630645991434,434,-1,-1,-1,2654,d0
1630645991434,434,-1,-1,-1,3008,d0
1630645991434,434,-1,-1,-1,2694,d0
1630645991434,434,-1,-1,-1,2706,d0
1630645991435,435,-1,-1,-1,2622,d0
1630645991435,435,-1,-1,-1,2674,d0
1630645991454,454,-1,-1,-1,2660,d0
1630645991455,455,-1,-1,-1,2710,d0
1630645991455,455,-1,-1,-1,2690,d0
1630645991455,455,-1,-1,-1,2660,d0
1630645991455,455,-1,-1,-1,2680,d0
1630645991455,455,-1,-1,-1,2678,d0
1630645991455,455,-1,-1,-1,2670,d0
1630645991455,455,-1,-1,-1,2968,d0
1630645991455,455,-1,-1,-1,2674,d0
1630645991455,455,-1,-1,-1,2674,d0
1630645991455,455,-1,-1,-1,2658,d0
1630645991455,455,-1,-1,-1,2660,d0
1630645991455,455,-1,-1,-1,2704,d0
1630645991455,455,-1,-1,-1,2684,d0
1630645991456,456,-1,-1,-1,2648,d0
1630645991456,456,-1,-1,-1,2674,d0
1630645991456,456,-1,-1,-1,2684,d0
1630645991479,479,-1,-1,-1,2670,d0
1630645991479,479,-1,-1,-1,2792,d0
1630645991479,479,-1,-1,-1,2726,d0
1630645991494,494,-1,-1,-1,2680,d0
1630645991494,494,-1,-1,-1,2942,d0
1630645991495,495,-1,-1,-1,2684,d0
