Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,,
1.63066E+12,517,-1,-1,-1,2720,d0,Avg,2518
1.63066E+12,551,-1,-1,-1,2438,d0,,
1.63066E+12,552,-1,-1,-1,2438,d0,,
1.63066E+12,552,-1,-1,-1,2452,d0,,
1.63066E+12,552,-1,-1,-1,2448,d0,,
1.63066E+12,553,-1,-1,-1,2454,d0,,
1.63066E+12,553,-1,-1,-1,2458,d0,,
1.63066E+12,553,-1,-1,-1,2628,d0,,
1.63066E+12,553,-1,-1,-1,2428,d0,,
1.63066E+12,553,-1,-1,-1,2464,d0,,
1.63066E+12,553,-1,-1,-1,2504,d0,,
1.63066E+12,553,-1,-1,-1,2424,d0,,
1.63066E+12,553,-1,-1,-1,2442,d0,,
1.63066E+12,553,-1,-1,-1,2458,d0,,
1.63066E+12,553,-1,-1,-1,2448,d0,,
1.63066E+12,553,-1,-1,-1,2428,d0,,
1.63066E+12,553,-1,-1,-1,2468,d0,,
1.63066E+12,555,-1,-1,-1,2454,d0,,
1.63066E+12,569,-1,-1,-1,2742,d0,,
1.63066E+12,570,-1,-1,-1,2432,d0,,
1.63066E+12,570,-1,-1,-1,2382,d0,,
1.63066E+12,570,-1,-1,-1,2452,d0,,
1.63066E+12,570,-1,-1,-1,2424,d0,,
1.63066E+12,597,-1,-1,-1,2428,d0,,
1.63066E+12,597,-1,-1,-1,2432,d0,,
1.63066E+12,597,-1,-1,-1,2464,d0,,
1.63066E+12,597,-1,-1,-1,2452,d0,,
1.63066E+12,597,-1,-1,-1,2434,d0,,
1.63066E+12,597,-1,-1,-1,2454,d0,,
1.63066E+12,598,-1,-1,-1,2464,d0,,
1.63066E+12,598,-1,-1,-1,2448,d0,,
1.63066E+12,598,-1,-1,-1,2442,d0,,
1.63066E+12,598,-1,-1,-1,2458,d0,,
1.63066E+12,598,-1,-1,-1,2458,d0,,
1.63066E+12,598,-1,-1,-1,2424,d0,,
1.63066E+12,598,-1,-1,-1,2438,d0,,
1.63066E+12,598,-1,-1,-1,2478,d0,,
1.63066E+12,598,-1,-1,-1,2434,d0,,
1.63066E+12,598,-1,-1,-1,2424,d0,,
1.63066E+12,597,-1,-1,-1,2464,d0,,
1.63066E+12,606,-1,-1,-1,2470,d0,,
1.63066E+12,606,-1,-1,-1,2432,d0,,
1.63066E+12,606,-1,-1,-1,2424,d0,,
1.63066E+12,637,-1,-1,-1,2602,d0,,
1.63066E+12,637,-1,-1,-1,2460,d0,,
1.63066E+12,637,-1,-1,-1,2468,d0,,
1.63066E+12,606,-1,-1,-1,2442,d0,,
1.63066E+12,637,-1,-1,-1,2458,d0,,
1.63066E+12,637,-1,-1,-1,2428,d0,,
1.63066E+12,638,-1,-1,-1,2422,d0,,
1.63066E+12,638,-1,-1,-1,2478,d0,,
1.63066E+12,638,-1,-1,-1,2452,d0,,
1.63066E+12,638,-1,-1,-1,2428,d0,,
1.63066E+12,638,-1,-1,-1,2454,d0,,
1.63066E+12,638,-1,-1,-1,2536,d0,,
1.63066E+12,638,-1,-1,-1,2442,d0,,
1.63066E+12,638,-1,-1,-1,2434,d0,,
1.63066E+12,638,-1,-1,-1,2470,d0,,
1.63066E+12,638,-1,-1,-1,2460,d0,,
1.63066E+12,638,-1,-1,-1,2460,d0,,
1.63066E+12,638,-1,-1,-1,2434,d0,,
1.63066E+12,915,-1,-1,-1,2468,d0,,
1.63066E+12,915,-1,-1,-1,2434,d0,,
1.63066E+12,915,-1,-1,-1,2432,d0,,
1.63066E+12,915,-1,-1,-1,2478,d0,,
1.63066E+12,915,-1,-1,-1,2448,d0,,
1.63066E+12,916,-1,-1,-1,2428,d0,,
1.63066E+12,916,-1,-1,-1,2448,d0,,
1.63066E+12,916,-1,-1,-1,2458,d0,,
1.63066E+12,916,-1,-1,-1,2432,d0,,
1.63066E+12,916,-1,-1,-1,2542,d0,,
1.63066E+12,916,-1,-1,-1,2570,d0,,
1.63066E+12,916,-1,-1,-1,2448,d0,,
1.63066E+12,916,-1,-1,-1,2424,d0,,
1.63066E+12,916,-1,-1,-1,2444,d0,,
1.63066E+12,916,-1,-1,-1,2442,d0,,
1.63066E+12,916,-1,-1,-1,2448,d0,,
1.63066E+12,916,-1,-1,-1,2424,d0,,
1.63066E+12,916,-1,-1,-1,2470,d0,,
1.63066E+12,917,-1,-1,-1,2470,d0,,
1.63066E+12,917,-1,-1,-1,2428,d0,,
1.63066E+12,917,-1,-1,-1,2350,d0,,
1.63066E+12,917,-1,-1,-1,2668,d0,,
1.63066E+12,917,-1,-1,-1,2438,d0,,
1.63066E+12,917,-1,-1,-1,2438,d0,,
1.63066E+12,917,-1,-1,-1,2454,d0,,
1.63066E+12,917,-1,-1,-1,2454,d0,,
1.63066E+12,917,-1,-1,-1,2434,d0,,
1.63066E+12,917,-1,-1,-1,2434,d0,,
1.63066E+12,917,-1,-1,-1,2500,d0,,
